,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
16to64chs_spatial_mamba1,0.277563 ± 0.081,0.520887 ± 0.079,5.7690 ± 1.357,0.2298 ± 0.019,0.617754 ± 0.269,0.8427 ± 0.055,6.2551 ± 1.737,0.001918 ± 0.000,0.11M
16to64chs_spatial_mamba2,0.274192 ± 0.084,0.517057 ± 0.083,5.8451 ± 1.434,0.2677 ± 0.024,0.558738 ± 0.239,0.8426 ± 0.056,7.0829 ± 1.893,0.004308 ± 0.001,0.1M
