,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
x8_temporal_with_mamba2_nb1_d256_ds64_nl1,0.481497 ± 0.090,0.690606 ± 0.068,3.2595 ± 0.889,0.0263 ± 0.003,1.151665 ± 0.379,0.7197 ± 0.062,0.7336 ± 1.740,0.004048 ± 0.000,1.78M
x8_temporal_no_mamba,0.468323 ± 0.086,0.681149 ± 0.066,3.3789 ± 0.887,0.2388 ± 0.035,1.087493 ± 0.343,0.7236 ± 0.059,0.9617 ± 1.679,0.000548 ± 0.000,0.78M
