,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
16to64chs_spatial_mamba2_d512_ds16,0.000335 ± 0.000,0.015710 ± 0.009,37.2899 ± 4.419,0.8693 ± 0.054,1.073077 ± 1.321,0.8286 ± 0.082,6.6260 ± 2.151,0.002139 ± 0.001,3.64M
16to64chs_spatial_mamba2_d512_ds64,0.000346 ± 0.000,0.016124 ± 0.009,36.9432 ± 4.145,0.8224 ± 0.053,1.090203 ± 1.300,0.8281 ± 0.082,6.2754 ± 2.122,0.002571 ± 0.002,3.74M
16to64chs_spatial_mamba2_d512_ds128,0.000337 ± 0.000,0.015835 ± 0.009,37.1658 ± 4.300,0.8464 ± 0.052,1.159344 ± 1.393,0.8291 ± 0.081,6.0728 ± 2.126,0.002171 ± 0.000,3.88M
