,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
8to64chs_spatial_mamba1_d128_ds8,0.014027 ± 0.004,0.117535 ± 0.015,18.6608 ± 1.045,0.4772 ± 0.120,0.474965 ± 0.187,0.6987 ± 0.155,4.4176 ± 1.691,0.002143 ± 0.001,0.38M
8to64chs_spatial_mamba1_d128_ds16,0.014385 ± 0.004,0.118905 ± 0.016,18.5687 ± 1.114,0.5418 ± 0.143,0.487005 ± 0.194,0.6852 ± 0.163,4.3986 ± 1.720,0.002217 ± 0.001,0.4M
8to64chs_spatial_mamba1_d128_ds32,0.011688 ± 0.004,0.106926 ± 0.016,19.5110 ± 1.256,0.5073 ± 0.106,0.460831 ± 0.201,0.7051 ± 0.162,4.8055 ± 1.847,0.002469 ± 0.001,0.42M
