,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
16to64chs_spatial_mamba2_nb1_d256_ds16,0.289378 ± 0.085,0.531767 ± 0.081,5.5917 ± 1.374,0.2316 ± 0.014,0.525936 ± 0.210,0.8343 ± 0.056,7.0520 ± 1.575,0.004023 ± 0.001,1.36M
16to64chs_spatial_mamba2_nb3_d256_ds16,0.291476 ± 0.085,0.533756 ± 0.081,5.5578 ± 1.363,0.2736 ± 0.039,0.549172 ± 0.212,0.8329 ± 0.057,6.4439 ± 1.567,0.005475 ± 0.001,2.99M
16to64chs_spatial_mamba2_nb5_d256_ds16,0.284134 ± 0.086,0.526520 ± 0.083,5.6847 ± 1.417,0.2651 ± 0.034,0.516201 ± 0.207,0.8366 ± 0.057,7.4907 ± 1.854,0.024340 ± 0.019,4.62M
