,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
8to64chs_spatial_with_mamba1_nb3_d128_ds32_nl1,0.013025 ± 0.004,0.113141 ± 0.015,19.0008 ± 1.118,0.2809 ± 0.079,0.468207 ± 0.193,0.7061 ± 0.158,4.4937 ± 1.768,0.004646 ± 0.001,1.0M
8to64chs_spatial_no_mamba,0.010537 ± 0.003,0.101830 ± 0.013,19.9094 ± 1.066,0.6318 ± 0.138,0.464737 ± 0.204,0.7063 ± 0.158,4.7834 ± 1.842,0.000485 ± 0.000,0.32M
