,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
8to64chs_spatial_mamba1_d32,0.016078 ± 0.005,0.125405 ± 0.019,18.1288 ± 1.280,0.3414 ± 0.147,0.545561 ± 0.212,0.6258 ± 0.191,3.7229 ± 1.608,0.001793 ± 0.000,0.04M
8to64chs_spatial_mamba1_d64,0.011807 ± 0.003,0.107594 ± 0.015,19.4473 ± 1.191,0.5676 ± 0.138,0.482425 ± 0.205,0.6905 ± 0.165,4.4260 ± 1.748,0.001780 ± 0.000,0.11M
8to64chs_spatial_mamba1_d128,0.012554 ± 0.003,0.111110 ± 0.014,19.1549 ± 1.090,0.1254 ± 0.032,0.467184 ± 0.191,0.7081 ± 0.156,4.5459 ± 1.721,0.001851 ± 0.000,0.4M
