,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
x8_temporal_mamba1_d128_ds8,0.010645 ± 0.001,0.103024 ± 0.006,19.7538 ± 0.467,0.6268 ± 0.120,0.503743 ± 0.216,0.7035 ± 0.142,4.2480 ± 1.698,0.002185 ± 0.000,0.59M
x8_temporal_mamba1_d128_ds16,0.011639 ± 0.002,0.107647 ± 0.007,19.3791 ± 0.577,0.5781 ± 0.133,0.496104 ± 0.204,0.7108 ± 0.138,4.2500 ± 1.655,0.001937 ± 0.000,0.6M
x8_temporal_mamba1_d128_ds32,0.011773 ± 0.001,0.108345 ± 0.006,19.3165 ± 0.469,0.4851 ± 0.092,0.502621 ± 0.210,0.7080 ± 0.144,4.2093 ± 1.679,0.001962 ± 0.000,0.63M
