,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
16to64chs_spatial_mamba2_d128,0.000340 ± 0.000,0.015871 ± 0.009,37.1734 ± 4.365,0.8625 ± 0.053,1.066043 ± 1.249,0.8256 ± 0.082,5.9871 ± 2.169,0.003430 ± 0.000,0.35M
16to64chs_spatial_mamba2_d256,0.000338 ± 0.000,0.015779 ± 0.009,37.2542 ± 4.428,0.8721 ± 0.055,1.068799 ± 1.272,0.8269 ± 0.082,6.2513 ± 2.089,0.002063 ± 0.000,1.05M
16to64chs_spatial_mamba2_d512,0.000340 ± 0.000,0.015852 ± 0.009,37.1887 ± 4.368,0.8501 ± 0.054,1.003576 ± 1.226,0.8291 ± 0.082,6.5074 ± 2.110,0.002540 ± 0.002,3.64M
