,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
16to64chs_spatial_mamba2_d256_ds16,0.295298 ± 0.082,0.537842 ± 0.078,5.4809 ± 1.291,0.2994 ± 0.035,0.482706 ± 0.198,0.8356 ± 0.055,7.5872 ± 1.587,0.004244 ± 0.002,1.36M
16to64chs_spatial_mamba2_d256_ds64,0.285930 ± 0.083,0.528824 ± 0.079,5.6352 ± 1.342,0.3203 ± 0.049,0.565968 ± 0.227,0.8364 ± 0.056,7.1692 ± 1.551,0.003758 ± 0.002,1.41M
16to64chs_spatial_mamba2_d256_ds128,0.285607 ± 0.085,0.528130 ± 0.082,5.6539 ± 1.390,0.3097 ± 0.024,0.550903 ± 0.226,0.8357 ± 0.057,7.5042 ± 1.617,0.003453 ± 0.001,1.48M
