,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
x8_temporal_mamba1,0.440614 ± 0.090,0.660012 ± 0.071,3.6620 ± 0.975,0.2036 ± 0.027,1.123123 ± 0.338,0.7427 ± 0.061,0.9556 ± 1.747,0.001916 ± 0.001,0.2M
x8_temporal_mamba2,0.451676 ± 0.091,0.668336 ± 0.071,3.5517 ± 0.961,0.2238 ± 0.030,1.110850 ± 0.363,0.7352 ± 0.061,0.9212 ± 1.718,0.002673 ± 0.000,0.19M
