,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
16to64chs_spatial_mamba1,0.000329 ± 0.000,0.015570 ± 0.009,37.3749 ± 4.436,0.8780 ± 0.055,1.173732 ± 1.449,0.8310 ± 0.080,6.4762 ± 2.191,0.001160 ± 0.000,1.12M
16to64chs_spatial_mamba2,0.000341 ± 0.000,0.015952 ± 0.009,37.0989 ± 4.298,0.8387 ± 0.052,1.071900 ± 1.296,0.8273 ± 0.081,6.0348 ± 2.091,0.002845 ± 0.001,1.05M
