,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
x8_temporal_mamba2_d256_ds16,0.507738 ± 0.091,0.709454 ± 0.066,3.0217 ± 0.847,0.0063 ± 0.001,1.250419 ± 0.391,0.7049 ± 0.065,0.3890 ± 1.657,0.002797 ± 0.000,1.72M
x8_temporal_mamba2_d256_ds64,0.473206 ± 0.089,0.684602 ± 0.067,3.3355 ± 0.889,0.1386 ± 0.022,1.135908 ± 0.352,0.7208 ± 0.063,0.8891 ± 1.670,0.002725 ± 0.001,1.78M
x8_temporal_mamba2_d256_ds128,0.480298 ± 0.090,0.689769 ± 0.067,3.2693 ± 0.879,0.0283 ± 0.019,1.142388 ± 0.362,0.7223 ± 0.061,0.8186 ± 1.704,0.002562 ± 0.001,1.84M
