,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
x8_temporal_mamba1_d32,0.014108 ± 0.001,0.118627 ± 0.006,18.5273 ± 0.434,0.2702 ± 0.097,0.632276 ± 0.243,0.6030 ± 0.170,3.0550 ± 1.503,0.001877 ± 0.000,0.09M
x8_temporal_mamba1_d64,0.012477 ± 0.001,0.111618 ± 0.004,19.0516 ± 0.330,0.0935 ± 0.015,0.556647 ± 0.219,0.6713 ± 0.148,3.6646 ± 1.562,0.001873 ± 0.000,0.22M
x8_temporal_mamba1_d128,0.010777 ± 0.001,0.103693 ± 0.005,19.6950 ± 0.414,0.3890 ± 0.092,0.517506 ± 0.226,0.6984 ± 0.146,4.1612 ± 1.712,0.001941 ± 0.000,0.6M
