,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
16to64chs_spatial_mamba2_d64,0.272686 ± 0.084,0.515646 ± 0.082,5.8692 ± 1.438,0.3417 ± 0.042,0.541818 ± 0.243,0.8423 ± 0.056,7.4242 ± 1.981,0.004484 ± 0.001,0.1M
16to64chs_spatial_mamba2_d128,0.271769 ± 0.085,0.514513 ± 0.084,5.8933 ± 1.469,0.2806 ± 0.025,0.496303 ± 0.228,0.8437 ± 0.056,8.0216 ± 1.859,0.004223 ± 0.001,0.36M
16to64chs_spatial_mamba2_d256,0.279705 ± 0.085,0.522322 ± 0.083,5.7559 ± 1.428,0.3674 ± 0.029,0.478349 ± 0.202,0.8398 ± 0.055,8.1505 ± 1.720,0.002981 ± 0.001,1.36M
