,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
x8_temporal_with_mamba1_nb3_d128_ds16_nl1,0.010319 ± 0.001,0.101338 ± 0.007,19.9052 ± 0.597,0.1918 ± 0.035,0.499419 ± 0.214,0.7054 ± 0.144,4.3144 ± 1.727,0.004072 ± 0.001,1.14M
x8_temporal_no_mamba,0.007736 ± 0.001,0.087794 ± 0.005,21.1465 ± 0.521,0.5818 ± 0.098,0.500501 ± 0.246,0.7182 ± 0.140,4.6602 ± 1.916,0.000529 ± 0.000,0.74M
