,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
8to64chs_spatial_no_mamba_no_diffusion,0.007230 ± 0.002,0.084411 ± 0.010,21.5328 ± 1.017,0.6767 ± 0.131,0.453107 ± 0.191,0.7320 ± 0.139,4.7295 ± 1.555,0.000464 ± 0.000,0.32M
8to64chs_spatial_no_mamba_with_diffusion,0.012244 ± 0.003,0.109978 ± 0.012,19.2260 ± 0.945,0.5685 ± 0.149,0.550138 ± 0.214,0.6432 ± 0.172,3.5620 ± 1.543,0.001256 ± 0.001,0.54M
