,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
16to64chs_spatial_mamba2_n1_d512_ds16,0.000355 ± 0.000,0.016508 ± 0.009,36.6467 ± 3.945,0.7680 ± 0.048,1.147291 ± 1.275,0.8289 ± 0.081,5.5013 ± 2.005,0.002346 ± 0.000,3.64M
16to64chs_spatial_mamba2_n3_d512_ds16,0.000342 ± 0.000,0.015978 ± 0.009,37.0914 ± 4.321,0.8532 ± 0.055,1.142193 ± 1.371,0.8231 ± 0.083,5.4889 ± 2.112,0.005553 ± 0.002,10.06M
