,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
x8_temporal_mamba2_nb1_d256_ds64,0.465233 ± 0.094,0.678313 ± 0.072,3.4229 ± 0.961,0.2385 ± 0.035,1.147952 ± 0.368,0.7237 ± 0.064,0.8151 ± 1.756,0.003673 ± 0.001,1.78M
x8_temporal_mamba2_nb2_d256_ds64,0.469391 ± 0.086,0.681947 ± 0.066,3.3683 ± 0.883,0.0433 ± 0.006,1.153578 ± 0.349,0.7291 ± 0.059,0.6514 ± 1.585,0.004809 ± 0.001,2.64M
x8_temporal_mamba2_nb3_d256_ds64,0.480911 ± 0.092,0.690054 ± 0.069,3.2682 ± 0.907,0.1111 ± 0.016,1.151726 ± 0.363,0.7174 ± 0.063,0.7550 ± 1.687,0.008335 ± 0.001,3.5M
