,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
8to64chs_spatial_mamba1_nb1_d128_ds32,0.010909 ± 0.003,0.103585 ± 0.013,19.7633 ± 1.084,0.5740 ± 0.134,0.464952 ± 0.187,0.7041 ± 0.147,4.5452 ± 1.640,0.001996 ± 0.000,0.42M
8to64chs_spatial_mamba1_nb3_d128_ds32,0.011003 ± 0.003,0.103921 ± 0.014,19.7437 ± 1.149,0.4591 ± 0.096,0.451364 ± 0.195,0.7196 ± 0.153,4.7549 ± 1.797,0.004046 ± 0.000,1.0M
8to64chs_spatial_mamba1_nb5_d128_ds32,0.014375 ± 0.003,0.119230 ± 0.013,18.5190 ± 0.893,0.0201 ± 0.005,0.500900 ± 0.177,0.7165 ± 0.153,3.8373 ± 1.425,0.006383 ± 0.001,1.58M
