,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
x8_temporal_mamba1_nb1_d128_ds16,0.010174 ± 0.001,0.100720 ± 0.005,19.9503 ± 0.467,0.6482 ± 0.124,0.493738 ± 0.211,0.7103 ± 0.137,4.3592 ± 1.692,0.001886 ± 0.000,0.6M
x8_temporal_mamba1_nb3_d128_ds16,0.008090 ± 0.001,0.089770 ± 0.006,20.9538 ± 0.532,0.2008 ± 0.031,0.491429 ± 0.225,0.7172 ± 0.138,4.5493 ± 1.787,0.003894 ± 0.000,1.14M
x8_temporal_mamba1_nb5_d128_ds16,0.012434 ± 0.001,0.111407 ± 0.005,19.0695 ± 0.363,0.0193 ± 0.004,0.535568 ± 0.197,0.7069 ± 0.144,3.6703 ± 1.464,0.006611 ± 0.002,1.67M
