,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
8to64chs_spatial_mamba1,0.010974 ± 0.004,0.103487 ± 0.016,19.8043 ± 1.317,0.4264 ± 0.117,0.462675 ± 0.204,0.7049 ± 0.165,4.7403 ± 1.796,0.001807 ± 0.000,0.11M
8to64chs_spatial_mamba2,0.012803 ± 0.004,0.111986 ± 0.016,19.1037 ± 1.217,0.3135 ± 0.100,0.500216 ± 0.209,0.6695 ± 0.176,4.2532 ± 1.717,0.002755 ± 0.000,0.1M
