,MSE,RMSE,PSNR,SSIM,NMSE,PCC,SNR,Avg Inference Time,Parameters
x8_temporal_mamba1_nb3_d128_ds16_nl1_no_diffusion,0.010573 ± 0.001,0.102681 ± 0.005,19.7823 ± 0.456,0.6317 ± 0.126,0.506118 ± 0.217,0.6988 ± 0.145,4.2637 ± 1.711,0.004019 ± 0.000,1.14M
x8_temporal_mamba1_nb3_d128_ds16_nl1_with_diffusion,0.004937 ± 0.000,0.070207 ± 0.003,23.0795 ± 0.351,0.2314 ± 0.031,0.611409 ± 0.273,0.7253 ± 0.114,4.0344 ± 1.954,0.004507 ± 0.000,1.17M
