SR Type,Scale,δ,θ,α,β,γ,Overall
spatial,x8,7.1049485206604,4.636407852172852,4.79164981842041,2.7980380058288574,4.852715969085693,4.836752414703369
spatial,x4,5.705840110778809,3.566540002822876,3.7082998752593994,2.7942094802856445,5.211116313934326,4.197200775146484
spatial,x2,4.0819501876831055,2.8171308040618896,3.023494243621826,3.0211284160614014,5.609981060028076,3.7107367515563965
temporal,x8,1.1176031827926636,1.153969645500183,3.607538938522339,3.2180089950561523,5.069698333740234,2.8333640098571777
temporal,x4,1.3583654165267944,1.2630935907363892,1.4799399375915527,2.357334852218628,4.851414680480957,2.2620298862457275
temporal,x2,1.3103723526000977,1.5159215927124023,1.6265050172805786,2.3090643882751465,4.807217121124268,2.3138160705566406
