name,accuracy,f1,precision,recall,confusion_matrix,roc_auc,is_binary
x8_spatial_hr,0.8371212121212122,0.8334873487348735,0.8693642708922844,0.8371212121212122,"[[ 91  41]
 [  2 130]]",0.9566689623507806,True
x8_spatial_lr,0.8446969696969697,0.843708035520901,0.8536477654124713,0.8446969696969697,"[[122  10]
 [ 31 101]]",0.9497245179063362,True
x8_spatial_sr,0.8901515151515151,0.8901499390200158,0.8901739080525741,0.8901515151515151,"[[117  15]
 [ 14 118]]",0.9550045913682278,True
